JPE_redd_id,date,survey_method,longitude,latitude,reach,reach_sub_unit,river_mile,redd_loc,pre_redd_substrate_size,redd_substrate_size,tail_substrate_size,fish_guarding,redd_measured,why_not_measured,pre_redd_depth,redd_pit_depth,redd_tail_depth,redd_length,redd_width,flow_meter,flow_fps,start_number_flow_meter,end_number_flow_meter,flow_meter_time,start_number_flow_meter_80,end_number_flow_meter_80,flow_meter_time_80,survey,run,species,age_index,age,date_measured,tailspill,fork
Redd_0168,2003-10-01,Snorkel,-122,40,R3,NA,2,RR,NA,NA,NA,UNK,TRUE,UNK,23,26,5,212,105,Flow Bomb,1,155000,155956,100,NA,NA,NA,8,spring,Chinook,1,0,NA,NA,NA
Redd_0169,2003-10-01,Snorkel,-122,40,R3,NA,2,RR,NA,NA,NA,UNK,TRUE,UNK,9,11,2,205,84,Flow Bomb,0,748000,748364,120,NA,NA,NA,8,spring,Chinook,1,0,NA,NA,NA
Redd_0170,2003-10-01,Snorkel,-122,40,R3,NA,2,RL,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,spring,Chinook,1,0,NA,NA,NA
Redd_0171,2003-10-01,Snorkel,-122,40,R3,NA,2,RL,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,spring,Chinook,1,0,NA,NA,NA
Redd_0172,2003-10-01,Snorkel,-122,40,R3,NA,2,RL,NA,NA,NA,UNK,TRUE,UNK,13,19,6,180,127,Flow Bomb,0,748000,748400,100,NA,NA,NA,8,spring,Chinook,1,0,NA,NA,NA
Redd_0173,2003-10-01,Snorkel,-122,40,R3,NA,2,RL,NA,NA,NA,UNK,TRUE,UNK,14,18,11,120,74,Flow Bomb,2,748000,750595,100,NA,NA,NA,8,spring,Chinook,1,0,NA,NA,NA
Redd_0174,2003-10-01,Snorkel,-122,40,R3,NA,2,RR,NA,NA,NA,UNK,TRUE,UNK,NA,NA,NA,NA,NA,Flow Bomb,1,754300,755792,100,NA,NA,NA,8,spring,Chinook,1,0,NA,NA,NA
Redd_0309,2004-10-01,Snorkel,-122,40,R7,NA,5,RC,1-2,1-2,2-4,NO,TRUE,UNK,12,14,2,240,107,flow bomb,2,200000,202458,100,NA,NA,NA,9,spring,Chinook,1,2,NA,NA,NA
Redd_0310,2004-10-01,Snorkel,-122,40,R7,NA,5,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,spring,Chinook,1,0,NA,NA,NA
Redd_0311,2004-10-01,Snorkel,-122,40,R7,NA,5,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,spring,Chinook,1,0,NA,NA,NA
Redd_0312,2004-10-01,Snorkel,-122,40,R7,NA,5,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,spring,Chinook,1,0,NA,NA,NA
Redd_0313,2004-10-01,Snorkel,-122,40,R7,NA,5,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,spring,Chinook,1,0,NA,NA,NA
Redd_0314,2004-10-01,Snorkel,-122,40,R7,NA,5,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,spring,Chinook,1,0,NA,NA,NA
Redd_0315,2004-10-01,Snorkel,-122,40,R7,NA,5,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,spring,Chinook,1,0,NA,NA,NA
Redd_0316,2004-10-01,Snorkel,-122,40,R7,NA,4,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,spring,Chinook,1,0,NA,NA,NA
Redd_0317,2004-10-01,Snorkel,-122,40,R7,NA,4,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,spring,Chinook,1,0,NA,NA,NA
Redd_0318,2004-10-01,Snorkel,-122,40,R7,NA,5,RR,3-5,1-3,2-4,NO,TRUE,UNK,15,21,10,228,99,flow bomb,3,202500,205768,100,NA,NA,NA,9,spring,Chinook,1,2,NA,NA,NA
Redd_0319,2004-10-01,Snorkel,-122,40,R7,NA,5,RL,1-3,1-3,2-4,NO,TRUE,UNK,16,23,8,249,148,flow bomb,2,206000,208695,100,NA,NA,NA,9,spring,Chinook,1,2,NA,NA,NA
Redd_0320,2004-10-01,Snorkel,-122,40,R7,NA,5,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,spring,Chinook,1,0,NA,NA,NA
Redd_0321,2004-10-01,Snorkel,-122,40,R7,NA,5,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,spring,Chinook,1,0,NA,NA,NA
Redd_0322,2004-10-01,Snorkel,-122,40,R7,NA,5,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,spring,Chinook,1,0,NA,NA,NA
Redd_0323,2004-10-01,Snorkel,-122,40,R7,NA,5,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,spring,Chinook,1,0,NA,NA,NA
Redd_0324,2004-10-01,Snorkel,-122,40,R7,NA,5,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,spring,Chinook,1,0,NA,NA,NA
Redd_0325,2004-10-01,Snorkel,-122,40,R7,NA,5,UNK,NA,NA,NA,UNK,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,spring,Chinook,1,0,NA,NA,NA
Redd_0519,2007-10-01,Snorkel,-122,40,R1,NA,4,RR,1-3,1-2,2-4,NO,TRUE,UNK,13,18,6,88,30,Flow Bomb,1,466000,467555,100,NA,NA,NA,5,spring,Chinook,1,2,NA,NA,NA
Redd_0520,2007-10-01,Snorkel,-122,40,R1,NA,4,RC,2-4,2-4,2-4,NO,TRUE,UNK,15,22,14,104,52,Flow Bomb,2,467600,469970,100,NA,NA,NA,5,spring,Chinook,1,2,NA,NA,NA
Redd_0521,2007-10-01,Snorkel,-122,40,R1,NA,3,RR,1-3,1-3,1-3,NO,TRUE,UNK,10,16,9,122,53,Flow Bomb,1,470000,471761,100,NA,NA,NA,5,spring,Chinook,1,2,NA,NA,NA
Redd_0522,2007-10-01,Snorkel,-122,40,R1,NA,3,RR,2-4,2-4,1-3,NO,TRUE,UNK,10,14,6,203,89,Flow Bomb,2,471800,473622,100,NA,NA,NA,5,spring,Chinook,1,2,NA,NA,NA
Redd_0523,2007-10-01,Snorkel,-122,40,R1,NA,3,RR,3-5,2-4,1-2,NO,TRUE,UNK,10,14,7,210,71,Flow Bomb,2,474000,476607,100,NA,NA,NA,5,spring,Chinook,1,2,NA,NA,NA
Redd_0524,2007-10-01,Snorkel,-122,40,R1,NA,3,RC,1-3,2-3,1-3,NO,TRUE,UNK,19,26,15,201,78,Flow Bomb,1,86000,87655,100,NA,NA,NA,5,spring,Chinook,1,2,NA,NA,NA
Redd_0650,2008-10-01,Snorkel,-122,40,R3,NA,17,RR,NA,NA,NA,YES,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,spring,Chinook,1,2,NA,NA,NA
Redd_0650,2008-10-15,Snorkel,-122,40,R3,NA,17,RR,NA,NA,NA,YES,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,spring,Chinook,2,3,NA,NA,NA
Redd_0651,2008-10-01,Snorkel,-122,40,R3,NA,14,RR,0.1-1,1-2,2-4,NO,TRUE,UNK,18,24,8,244,85,Flow Bomb,1,204000,205237,100,NA,NA,NA,4,spring,Chinook,1,2,NA,NA,NA
Redd_0651,2008-11-12,Snorkel,-122,40,R3,NA,14,RR,0.1-1,1-2,2-4,NO,TRUE,UNK,18,24,8,244,85,Flow Bomb,1,204000,205237,100,NA,NA,NA,4,spring,Chinook,2,3,NA,NA,NA
Redd_0652,2008-10-01,Snorkel,-122,40,R3,NA,13,RR,3-5,2-4,2-4,NO,TRUE,UNK,17,21,9,181,80,Flow Bomb,2,205000,206832,100,NA,NA,NA,4,spring,Chinook,1,2,NA,NA,NA
Redd_0653,2008-10-01,Snorkel,-122,40,R3,NA,17,RR,NA,NA,NA,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,spring,Chinook,1,2,NA,NA,NA
Redd_0654,2008-10-01,Snorkel,-122,40,R3,NA,17,RC,NA,NA,NA,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,spring,Chinook,1,2,NA,NA,NA
Redd_0655,2008-10-01,Snorkel,-122,40,R3,NA,16,RL,NA,NA,NA,YES,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,spring,Chinook,1,2,NA,NA,NA
Redd_0656,2008-10-01,Snorkel,-122,40,R3,NA,16,RR,NA,NA,NA,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,spring,Chinook,1,3,NA,NA,NA
Redd_0656,2008-11-12,Snorkel,-122,40,R3,NA,16,RR,NA,NA,NA,NO,FALSE,UNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,spring,Chinook,2,3,NA,NA,NA
Redd_0657,2008-10-01,Snorkel,-122,40,R4,NA,15,RL,1-3,1-3,1-3,NO,TRUE,UNK,11,19,9,216,110,Flow Bomb,1,815000,816594,100,NA,NA,NA,4,spring,Chinook,1,2,NA,NA,NA
Redd_0657,2008-10-15,Snorkel,-122,40,R4,NA,15,RL,1-3,1-3,1-3,NO,TRUE,UNK,11,19,9,216,110,Flow Bomb,1,815000,816594,100,NA,NA,NA,4,spring,Chinook,2,3,NA,NA,NA
